时装豪礼,Hào Lễ Thời Trang
维特的平衡法袍,Áo Choàng Werther Phù Thủy
这究竟是什么东西，为什么如此冰凉……,"Rốt cuộc đây là thứ gì, mà lại lạnh đến vậy..."
法术群控,"Khống Chế, Phép Thuật"
心剑,Kiếm Tâm
英雄收集进度达到{0}%,Tiến độ sưu tập tướng đạt {0}%
卡修觉醒技能3-加免伤,Katius Kỹ năng Thức tỉnh III - Tăng miễn thương
或 巅峰等级{0}后解锁,Hoặc đạt cấp {0} Đỉnh Cao sẽ mở
技能1等级I-伤害+增伤,Kỹ năng 1 cấp 1 - Sát thương + Tăng thương
盾破真伤,Phá khiên chịu sát thương
回合开始，降低所有英雄闪避20%,"Lượt đầu tiên, giảm 20% Né tránh toàn bộ tướng"
4.【高级技能】+【中级技能】,4. [Kỹ năng cao cấp] + [Kỹ năng trung cấp]
玩法介绍,Giới thiệu
谢谢你，阿男。你救了我两次。,"Cảm ơn ngươi, Leon, ngươi đã cứu ta hai lần."
第{0}队,Đội {0}
不知怎么了，村子突然来了一群魔族，就连神父大人也……,"Không biết vì sao trong thôn xuất hiện 1 đám Ma Tộc, thậm chí cả linh mục cũng..."
离,Lyn
生命值每降低1%，增加0.1%最终伤害。,"Mỗi lần HP giảm 1%, tăng 0.1% sát thương cuối"
是的，国君看来已经收到了我们的鸽书，派出了劫粮草的部队。,"Đúng vậy, quốc vương xem ra đã nhận được thư của chúng ta, nên đã phái quân đi cướp lương thảo."
阴郁,U Ám
特定魔兽等级,Cấp Ma Thú chỉ định
辅助·9星·护甲,Hỗ Trợ·9 Sao·Giáp
魔化莉莉丝,Lilith Ma Hóa
力量,Sức Mạnh
受击方20%概率3回合无法复活；对携带【神佑/保命】目标的伤害+10%。,"Bên bị tấn công có 20% tỉ lệ không thể hồi sinh trong 3 lượt, tăng 10% sát thương lên tướng có [Cầu Phúc/Hộ Mệnh]"
小心你们的背后！,Cẩn thận sau lưng!
16强赛,Vòng 16 đội
"      尽管是阴雨连绵，指挥营地前，焰岭部队依然连续数日派人前来叫阵。营地也派出几名好手，对阵双方各有胜负，直到沐血斗士加拉汗登场，连斩数名对阵者。指挥官雍眉头紧蹙，他摸着年轻儿子的脑袋，在耳边嘱咐了一句：“无论发生什么，一定要相信尚将军。”随后便返回营地帐中，手下齿也跟随进去。
      雍：“现在焰岭的气势似乎不可阻挡，尚说要七日之后分胜负。现在已经第六日了，军中似乎没有人再对此抱有信心。对了，尚去哪了？”
      齿：“大人，尚将军已经领队伍前去城外三家村征募去了，不过似乎没人愿意这时候加入。”
      雍：“这也是没有办法的事，眼下已无更好的办法，与其坐以待毙，不如再相信一次尚。”
      齿：“我倒是有一个办法。”
      雍：“哦，说来听听。”
      齿走到指挥官雍的身后，用手蒙住雍的眼睛，拔出匕首置于雍的脖颈之前，说道：“焰岭军说，只要你一死，我们就不用坐着等死，而我也不用再低声下气地待在一个副手的岗位上了！”
      雍：“原来这就是你所说的办法！”
      齿：“没错，阿布索伦的人早在对阵之前就与我接触了。”说罢，手起刀落，雍身首异处。此时，天上一个惊雷轰隆落下！
      夜里，当指挥官雍的首级被送到了焰岭军的手上时，焰岭军便发动了对指挥营地的攻势。
      焰岭军有了齿的带领，几乎没有遇到什么抵抗，很快便将指挥营地占领了。出逃的军队纷纷前往三家村去寻找尚将军，而焰岭军队也追击前来。
      齿：“阿布索伦大王，尚只带了一成的兵力驻扎在三家村，只要我们能抢先击溃尚，他们就彻底失去了汇合的机会，败局已定了。”
      阿布索伦于是分兵将出逃部队进行驱赶，使之远离三家村；而为了保证作战的成功，自己则带领主力部队进行对三家村发动袭击。
      可阿布索伦刚进入三家村的范围，便遭遇了尚部队在上游开洪的冲击，然而焰岭部队行动异常迅速，洪水只是淹了少部分落在后面没有追上来的部队——这次的泄洪就像是临时匆忙采取的策略，并没有对焰岭造成过多冲击。
      此时，阿布索伦下令大军直压三家村而去，依势而建的工事也没能起到任何作用，尚下令弓箭齐发，可是此时天雨，弓箭威力大减，算是勉强抵挡住了焰岭的第一次攻势。面临这样的形势，尚只能下令退守。
      但紧接着，阿布索伦便发动了第二轮的攻势，焰岭士兵们士气昂扬，面对弓矢也毫不退缩，眼看着焰岭士兵即将对尚的部队进行冲阵之时，埋伏在三家村村舍里的部队从三面围了过来，焰岭部队被打了个措手不及。
      可这一次的埋伏并没有奏效，因为阿布索伦已经杀到！
      阿布索伦：“我说过，这次我要将你们都碾碎！”
      阿布索伦勇猛异常，一人便冲散了三面的军队阵型，随后的焰岭士兵一拥而上，尚见势不妙，立刻下令弓箭手掩护回撤！
      此时，阿布索伦已经盯上了下令的尚，便直奔尚的位置而去。眼看就要抓到尚，这时，褚的长枪又从中刺出，化解了阿布索伦的冲击。阿布索伦调整后再次陷阵冲锋，但更多的士兵为了上来抵挡住了阿布索伦的二次冲击。阿布索伦于是指挥部队直压而上，路过的三家村村舍瞬间被夷为平地，而上的部队也只能依靠着强弓手的射击来勉强阻挡着焰岭士兵的追击。
      突然，焰岭士兵追至一峡道之处，阿布索伦见到这个与周边格格不入的地形，顿觉不妙，下令急退！
      阿布索伦：“这个峡道是他们所挖的工事！快退！”
      可是已经太晚了，只见洪水便从峡道之中喷泄而来！洪水席卷了焰岭的大部分军队，阿布索伦也被淹没其中。
      这时，峡道的高处出现了尚的身影。
      尚：“雍，这次还是没能让阿布索伦伏诛，只能以焰岭士兵来祭奠你了，你的头颅换来的仅仅是阿布索伦替身之死……不过，你的儿子没事。”
      指挥营地之中，真正的阿布索伦望着被洪水淹没的远方，说道：“原来，他们这几天是去了修改河道，为了引诱我们上钩，竟将计就计献出主将头颅……深渊智者，令人佩服！”







","Bất chấp mưa liên miên, trước trại chỉ huy, quân Diễm Lĩnh mấy ngày liền vẫn phái người đi kêu gọi. Trại cũng cử một số người chơi giỏi, và cả hai bên đều có kẻ thắng người thua, cho đến khi tên chiến binh Mộc Huyết xuất hiện và giết một số đối thủ liên tiếp. Chỉ huy Ung cau mày, chạm vào đầu đứa con trai nhỏ của mình và nói nhỏ vào tai nó: “Dù có chuyện gì xảy ra, con cũng phải tin tưởng tướng Rai.” Sau đó, ông quay trở lại lều trại, và các thuộc hạ của ông đi theo sau. 
Ung: ""Động lực của Diễm Lĩnh bây giờ dường như không thể ngăn cản. Rai nói rằng người chiến thắng sẽ được chia trong bảy ngày. Bây giờ là ngày thứ sáu, và không ai trong quân đội dường như tin tưởng vào điều này. Nhân tiện, Rai đâu rồi? "" 
Xỉ: ""Thưa ngài, tướng quân Rai đã dẫn đội tuyển mộ ba ngôi làng bên ngoài thành phố, nhưng có vẻ như không ai muốn tham gia vào lúc này."" 
Ung: ""Đây cũng là chuyện không thể tránh khỏi. Không còn cách nào tốt hơn bây giờ. Thay vì ngồi yên, tốt hơn hết là bạn nên tin vào điều đó một lần nữa."" 
Xỉ: ""ta có một cách."" 
Ung: ""Ồ, chúng ta hãy nghe nó."" 
Xỉ đi phía sau tướng quân Ung, lấy tay che mắt Yong, rút ​​dao găm ra đặt trước cổ Yong, nói: ""Quân Diễm Lĩnh đã nói, chỉ cần ngươi chết, chúng ta không phải ngồi chờ chết."", và ta cũng Không còn khiêm tốn ở lại một chức vụ của phó! "" 
Ung: ""Vì vậy, đây là những gì bạn đã nói!"" 
Xỉ: “Đúng vậy, những người từ Bishop đã liên lạc với ta từ rất lâu trước khi đối đầu.” Nói xong, anh ta giơ kiếm lên và ngã xuống, và đầu của Ung ở một nơi khác. Lúc này, một cơn giông từ trên trời rơi xuống! 
Vào ban đêm, khi người đứng đầu của Ung tướng quân được giao cho Quân đội Diễm Lĩnh, Quân đội Diễm Lĩnh đã mở một cuộc tấn công vào trại chỉ huy. 
Quân đội Diễm Lĩnh do chỉ huy Xỉ, hầu như không gặp phải sự kháng cự nào, và nhanh chóng chiếm đóng trại chỉ huy. Quân đội bỏ chạy đến làng Tam Gia để tìm tướng Rai, và quân Diễm Lĩnh cũng đuổi theo. 
Xỉ: ""Quốc vương Bishop, Rai chỉ đem 10% quân đến đóng ở làng Tam Gia. Chỉ cần chúng ta đánh bại được Rai trước, bọn họ sẽ hoàn toàn mất đi cơ hội hội tụ, thành bại đã định."" 
Sau đó Bishop chia quân để đánh đuổi những toán quân đang bỏ chạy khỏi Làng Tam Gia; và để đảm bảo thành công của trận chiến, ông đã dẫn quân chủ lực tấn công Làng Tam Gia. 
Nhưng ngay khi Bishop tiến vào khu vực làng Tam Gia, anh ta đã gặp phải tác động của việc quân của Rai mở dòng lũ lên thượng nguồn.Tuy nhiên, quân Diễm Lĩnh đã di chuyển rất nhanh. Việc xả lũ giống như một chiến thuật được thực hiện vội vàng, và nó không gây ra quá nhiều ảnh hưởng đến Diễm Lĩnh. 
Lúc này, Bishop đã ra lệnh cho quân đội trực tiếp áp sát làng Tam Gia và biến đi, các công sự được xây dựng tùy theo tình hình không có vai trò gì, hắn vẫn ra lệnh bắn cung tên, nhưng lúc này, sức mạnh của cung tên đã giảm đi đáng kể Đây là cuộc tấn công đầu tiên của Diễm Lĩnh. Đối mặt với tình huống như vậy, hắn chỉ có thể hạ lệnh rút lui. 
Nhưng sau đó, Bishop đã phát động đợt tấn công thứ 2. Quân của Diễm Lĩnh tinh thần phấn chấn, không hề nao núng khi đối mặt với cung tên, thấy quân của Diễm Lĩnh chuẩn bị tấn công quân của Rai, chúng đã phục kích vào. ba Quân đội ở ngôi làng Tam Gia đã bao vây họ từ ba phía, và quân Diễm Lĩnh đã mất cảnh giác. 
Nhưng lần này cuộc phục kích không thành công, vì Bishop đã giết nó rồi! 
Bishop: ""Ta đã nói, lần này ta sẽ bóp chết các ngươi!"" 
Bishop dũng cảm phi thường, một người phá tan đội hình quân ở ba mặt, quân Diễm Lĩnh xúm lại, thấy tình thế không ổn, lập tức hạ lệnh cho cung thủ yểm hộ rút lui! 
Lúc này, Bishop đã để mắt tới Rai người đã ra lệnh cho anh ta, và đi thẳng đến vị trí của Rai. Nhìn thấy Rai sắp bị bắt, lúc này, ngọn thương của Trử lại đâm ra khỏi nó, làm dịu đi cú sốc của Bishop. Sau khi điều chỉnh, Bishop tấn công một lần nữa, nhưng nhiều binh sĩ hơn chống lại công kích thứ hai của Bishop để xuất hiện. Bishop sau đó chỉ huy quân đội áp sát về phía trước, và ba ngôi làng đi qua đã bị san bằng thành bình địa ngay lập tức, và quân đội trên đầu chỉ có thể dựa vào bắn của các cung thủ mạnh mẽ để ngăn chặn sự truy đuổi của quân Diễm Lĩnh. 
Đột nhiên, quân Diễm Lĩnh đuổi theo một hẻm núi, Bishop nhìn thấy địa thế này không tương thích với khu vực xung quanh, đột nhiên cảm thấy không ổn, liền hạ lệnh rút lui! 
Bishop: ""Kênh này là công sự mà họ đào được! Tua lại!"" 
Nhưng đã quá muộn, và lũ đã tràn ra khỏi kênh! Lũ lụt đã nhấn chìm phần lớn quân đội của Diễm Lĩnh, và Bishop cũng bị nhấn chìm trong đó. 
Lúc này, bóng dáng của Rai đã xuất hiện trên đỉnh cao của hẻm núi. 
Rai: ""Ung, lần này, Bishop không thể bị xử tử. Chúng ta chỉ có thể bày tỏ lòng thành kính với anh với những người lính của núi Diễm Lĩnh. Cái anh đổi lấy cái đầu là cái chết của người thay thế Bishop ... Tuy nhiên , con trai ngươi vẫn ổn. "" 
Trong trại chỉ huy, Bishop thực sự nhìn về phía xa ngập nước nói: ""Hóa ra mấy ngày nay bọn họ tới sửa đổi đường sông, để dụ chúng ta làm mồi, bọn họ còn đưa ra cái đầu của thủ lĩnh."" .. Thánh giả thâm sâu, thật khiến con người ta ngưỡng mộ! """
技能1等级1-降暴,Kỹ năng 1 cấp 1 - Giảm bạo kích
莫里安是堕夜秘法会的一员，双眼因魔瘾而充满血色。他不断狩猎其他法师攫取法力为己所用。记住，他从不单独行动。,"Morian là thành viên của bí pháp Đọa Dạ, đôi mắt tràn ngập màu máu. Hắn không ngừng đi săn các pháp sư khác và cướp pháp lực cho mình sử dụng. Nhớ kỹ, hắn không hành động một mình."
克拉娜消耗3层【魔煞护体】时会施放1次必杀技。,"Khi Krana dùng hết 3 tầng [Ma Sát], anh ta sẽ nhập niết bàn 1 lần."
暴怒地将巨剑斩下，攻击敌方1列，造成180%物理伤害，并使目标<color=#FFEB04>【重伤】</color>，持续2回合。,"Vung kiếm chém 1 hàng dọc địch, gây 180% sát thương vật lý và khiến địch bị <color=#FFEB04>[Trọng Thương]</color>, duy trì 2 lượt."
师父尚来到了昔日爱徒公子弈的府邸，独自进了屋内。当师父尚再出来之时，手中多了一个渗着鲜血的匣子……,"Sư phụ Rai đến dinh thự của đệ tử yêu quý cũ của ông, công tử Yi, ông một mình đi vào phòng. Khi Sư phụ Rai ra ngoài lần nữa, trên tay ông cầm một chiếc hộp thấm đẫm máu tươi..."
请在下方选择装备,Vui lòng chọn trang bị bên dưới
械之试炼,Thử Thách Cơ Khí
瑰丽匕首,Dao Tinh Xảo
"    铁棘岛上阿克斯与雷德蒙师兄弟展开了同门对决，雷蒙德对于阿克斯的力量始料未及，被阿克斯抓住破绽给出了绝命一击……
    但这一击却被挡了下来——钢火仙人突然出现挡下来了这一击重拳。阿克斯看着昔日恩师全身发着焰色的钢火气息，双眼深陷如同恶鬼一般，此时阿克斯感受到的不是恐惧，而是愉悦——他今日终于看到了恩师这从未施展过的战斗形态，而他——今天便要超越师父！
    阿克斯：“师父，我的力量现在已登峰造极，以前我跟随你的教诲追求正义，但我却没能守护任何人，甚至是艾琳……战友不断地从我身边离去，我却无能为力，甚至是女王向我求助，我却没有一兵一卒！师父，我不再相信了，曾经你教我的守护之道不能守护任何人……”
    钢火仙人还是不发一言，一双深邃的眼睛仿佛深不可测。
    阿克斯：“终于我知道，力量才是掌控命运的钥匙！师父，我所领悟的才是超越之道，而今天我也将超越你！”
    说罢，阿克斯直取钢火仙人，两人来回仿佛蓝紫色的魔焰与红色的钢火之焰在互相碰撞，一时难分高下！突然，阿克斯转而向一旁的弟子发起了攻击——阿克斯深知作战之道——他所攻击的是距己近而离师远之人！只见钢火仙人瞬身来到弟子面前，但却来不及招架阿克斯早已蓄势待发的绝命一击——正中钢火仙人的胸膛，场内顿时爆发一阵剧烈的拳风！
    此时的修炼场内，众弟子看到这一幕已是目瞪口呆，师兄雷蒙德更是惊讶地只能断断续续地吐出一句：“这……怎么可能！”
    当拳风散去，只见阿克斯脸色惊讶——钢火仙人竟然站立于前纹丝不动！身后的弟子这才醒悟过来，吓得痛哭流涕瘫倒在地。
    阿克斯看着恩师，这如同神像一般屹立着的钢火仙人，松开了拳，身上的魔焰也开始散去。
    一边的雷蒙德此时眼神变得坚毅，正色说道：“这……就是师父的守护之道！”
    这句话重重地给了阿克斯一击！阿克斯想到刚才拳头抵达恩师胸膛时，感知到恩师心脏已全无跳动早已是仙逝之人，只因恪守守护之道才能够在这种情况之下仍然在守护门下弟子。阿克斯不想承认，但是只有绝对的精神力量才能驱使已死的躯体仍然战斗！
    阿克斯：“……如果我的力量也算是登峰造极，那么恩师他的守护精神却早已超越生死！”
    此时，阿克斯眼中散发的魔焰变成了钢火之焰的红！
    
    
","Trên đảo Kubo, Alvine và Redmond bắt đầu một cuộc đấu tay đôi, Redmond không ngờ được sức mạnh của Alvine nên bị Alvine bắt được và giáng một đòn chí mạng ...
Nhưng đòn đánh đã bị chặn lại - Lửa Bất Tử Thép bất ngờ xuất hiện và đỡ đòn. Alvine nhìn người thầy cũ của mình, người có toàn thân như lửa thép rực cháy, và đôi mắt sâu thẳm như một bóng ma, lúc này Alvine cảm thấy không phải sợ hãi mà là niềm vui - hôm nay cuối cùng anh cũng được gặp lại người thầy của mình, điều này trước đây chưa từng có. . Hình thức chiến đấu đã được sử dụng, và anh ta hôm nay sẽ vượt qua chủ nhân!
Alvine: ""Sư phụ, sức mạnh của ta bây giờ đã đến cực điểm. Ta đã từng nghe theo lời dạy của ngài để theo đuổi công lý, nhưng không bảo vệ được ai, kể cả Irene ... Đồng đội cứ bỏ mặc ta, nhưng ta không thể làm gì được."" ngay cả hoàng hậu cũng nhờ ta giúp đỡ, nhưng ta không có lấy một binh tốt! Sư phụ, ta không tin nữa, cách ngươi dạy ta bảo vệ cũng không bảo vệ được ai ... ""
Bất Hủ Hỏa Tôn vẫn không nói lời nào, đôi mắt sâu thẳm dường như không thể dò được.
Alvine: ""Cuối cùng, ta biết rằng sức mạnh là chìa khóa để điều khiển vận mệnh! Chủ nhân, những gì ta học được chính là con đường siêu việt, và hôm nay ta cũng sẽ vượt qua cả ngài!""
Rốt cuộc, Alvine trực tiếp cầm lấy Bất tử Hỏa thép, hai người qua lại như thể ngọn lửa ma thuật màu xanh tím và ngọn lửa thép màu đỏ đang va chạm vào nhau, nhất thời không thể phân biệt được! Đột nhiên, Alvine quay sang tấn công các đệ tử bên cạnh - Alvine biết cách chiến đấu rất tốt - anh ta tấn công những kẻ ở gần mình và ở xa thầy của mình! ta thấy Bất Hủ Hỏa Sơn đến với đệ tử ngay lập tức, nhưng đã quá muộn để đỡ đòn chí mạng mà Axe đã chuẩn bị sẵn - nó trúng ngực của Bất Hủ Hỏa Sơn, và một nắm đấm bạo phát nổ tung trên cánh đồng!
Trong sân huấn luyện lúc này, tất cả đệ tử đều sững sờ khi nhìn thấy cảnh này, người anh em Redmond càng kinh ngạc hơn, chỉ có thể phun ra một câu: ""Chuyện này ... làm sao có thể!""
khi cơn gió nắm đấm tan biến, ta ngạc nhiên nhìn thấy khuôn mặt của Alvine - Bất Hủ Hỏa Tôn vẫn đứng yên trước mặt anh ta! Đến lúc đó, người đệ tử phía sau mới tỉnh dậy, gục xuống đất khóc lóc thảm thiết.
nhìn sư phụ của mình, ngọn lửa thép bất tử đứng như tượng thần, tung nắm đấm ra, ngọn lửa ma thuật trên người bắt đầu tản ra.
Ánh mắt Redmond lúc này mới trở nên kiên định, nghiêm mặt nói: ""Đây ... là chiêu thức bảo bối của sư phụ!""
Câu này đã giáng cho Alvine một đòn nặng! Alvine nghĩ rằng khi nắm đấm của mình chạm đến ngực sư phụ của mình lúc nãy, anh cảm thấy trái tim của sư phụ mình không còn đập nữa, anh đã là một người chết rồi, và chỉ vì tuân thủ cách bảo vệ mà anh vẫn có thể làm đệ tử dưới trướng. . Alvine không muốn thừa nhận, nhưng chỉ có sức mạnh tinh thần tuyệt đối mới có thể khiến một xác chết vẫn chiến đấu!
Alvine: ""... Nếu thực lực của ta được coi là đỉnh cao, thì thần hộ mệnh của sư phụ ta đã vượt qua sinh tử rồi!""
Lúc này, ngọn lửa ma thuật phát ra từ mắt Alvine đã biến thành màu đỏ của ngọn lửa thép!"
高阶竞技场胜利2次,Khiêu chiến Đấu Trường Cao Cấp 2 lần
师父……您……看出来什么了？,Sư phụ...người...thấy được gì rồi?
至尊卡每日奖励,Thưởng ngày Thẻ Chí Tôn
169厘米,169 cm
圣辉的王族被悼光旅团伏击，四处旅行的冒险团刚好出现，击退了恶徒，但是国王还是被他们劫持了。,"Vương tộc Thánh Huy bị lữ đoàn Điệu Quang phục kích, đoàn mạo hiểm đúng lúc xuất hiện, đánh lui ác đồ, nhưng quốc vương vẫn bị bắt cóc."
{0}小时{1}分钟后开启,{0}h {1}p sau mở
生命之泉,Suối Sinh Mệnh
继续冒险,Tiếp tục thám hiểm
普通攻击时，有50%概率对敌方全体目标造成120%的魔法伤害。,"Đánh thường, có 50% tỉ lệ gây 120% sát thương phép lên toàn bộ địch"
寒芒·黑铁战甲,Hanmang-Giáp Hắc Thiết
伤害提升至89%攻击力+7倍防御力真实伤害。,Tăng 89% sát thương tấn công + 7 lần phòng thủ sát thương chuẩn
克拉娜沉睡之中苏醒过来，开始蓄积兵力准备向焰岭部落甚至是整个艾尔兰德复仇。,"Krana thức dậy, bắt đầu xây dựng quân đội chuẩn bị trả thù Bộ lạc Cuồng Hỏa và thậm chí là cả Ellan."
浪客试炼奖励,Thưởng Thí Luyện Lãng Khách
复仇者,Avengers
拥有【南瓜派对】获得,Sở hữu [Tiệc Bí Ngô] nhận
尊敬的勇士，巅峰对决新赛季已经开启！期待看见您胜利的英姿！,Quyết Đấu Đỉnh Phong mùa mới đã bắt đầu! Thử thách bản thân ngay nào!
紫色神器获取,Thần Khí Tím nhận 
档案,Hồ sơ
回忆起昔日圣辉时的悲痛画面，阿克斯的魔化变得更加强烈了！其身体出现的变化，让所有人都感到不可思议！,"Nhớ lại những nỗi đau của Đế Quốc Thánh Huy trong quá khứ, Alvine ma hóa càng mạnh mẽ hơn!"
角胄战龟普攻,Turko công cơ bản
迪姆加手下十大魔将之一布莱克的法宝。能够让使用者的状态回到9秒前。,"Vũ khí ma thuật của Blake, một trong mười Ma tướng của Dimgar. Nó có thể biến người dùng trở về trạng thái 9 giây trước."
师父尚的布局，最终就是为了完成国君所托，与冥海订盟，让冥海放弃入侵的同时赢得和平。,"Sắp đặt của sư phụ Rai, cuối cùng chính là để hoàn thành giao phó của quốc vương, liên minh với Minh Hải, để Minh Hải từ bỏ cuộc xâm lược , đồng thời giành lấy hòa bình."
阿尔弥楞了一下，他看到了自己的恩师，前一任的青羽远巡军元帅项绒。,"Varot sững sờ một lúc, anh nhìn thầy của mình, ShengLong, nguyên soái tiền nhiệm của đội tuần tra thanh vũ."
【琪塔】达到8星,[Kita] đạt 8 sao
"永茂≥4个,辅助≤1个","Hệ Mộc ≥ 4, Hỗ Trợ ≤ 1"
剩余时间: {0},Đếm ngược: {0}
联军,Liên Quân
<color=#D39D0D>莉莉丝</color>在试炼内攻击力和暴击率提升<color=#bde147>30%</color><br/><color=#D39D0D>全体英雄</color>在试炼内攻击力提升<color=#bde141>20000</color>，最大生命值提升<color=#bde141>100000</color>,"<color=#D39D0D>Lilith</color> trong Thí Luyện, tấn công và tỉ lệ bạo kích tăng <color=#bde141>30%</color><br/><color=#D39D0D>Toàn bộ tướng</color> trong Thí Luyện, tấn công tăng <color=#bde141>20000</color>, HP tối đa tăng <color=#bde141>100000</color>"
辅助·2星·足具,Hỗ Trợ·2 Sao·Giày
中排生命和攻击提升7200点。,HP và tấn công tướng hàng giữa +7200 điểm
增加的魔法免伤增加至30%。,Tăng 30% miễn sát thương phép
8星装备任选宝箱·控制,Rương Chọn Trang Bị 8 Sao·Khống Chế
觉醒技能1-易伤,Kỹ năng Thức tỉnh I - Dị Thương
乌鲁奇的银魂之炬,Ngọn Đuốc Uruchham
不使用法师和射手英雄来获胜,Chiến thắng không dùng tướng Khống Chế và Tấn Công
被自己混乱的敌方目标造成伤害的50%将恢复成爱莎的生命值。,Hồi cho Aisha lượng HP bằng 50% sát thương gây ra cho địch bị hỗn loạn.
活动配置活动配置活动配置活动配置活动配置活动配置活动配置活动配置,Cài đặt hoạt động
中级狂化,Cuồng Loạn-Trung
真·霍恩海姆,Thật·Rambo
异界招募英雄次数,Triệu Hồi Dị Giới
"敏攻≥4个,焰岭≤1个","Tấn Công ≥ 4, Hệ Hỏa ≤ 1"
战斗开始时，上阵英雄恢复自身最大生命15%的生命值。,"Vào trận, hồi 15% HP tôi đa cho tướng xuất trận."
眼看着姐姐汐在战斗中受伤，心急的熏冲了上去……,"Thấy chị Nami bị thương khi chiến đấu, Jana vội vã xông lên..."
复活加免伤,Hồi sinh tăng miễn sát thương
用于洗炼【9星】【10星】装备，可刷新<color=#8cb946>装备附加属性和魂能技能</color>，需要装备强化到12时才可以使用，出售可获得<color=#8cb946>中级强化锻锤*20</color>。,"Dùng để tẩy luyện trang bị [9 sao] [10 sao], có thể làm mới <color=#8cb946>thuộc tính phụ và kỹ năng Hồn Lực của trang bị</color>, trang bị +12 mới được sử dụng, bán nhận được <color=#8cb946>Búa Cường Hóa Cao*20</color>."
修改名称,Đổi tên
携带该状态目标效果命中降低20%，持续2回合。该状态结束后，陷入【虚弱】。,"Địch chịu hiệu ừng này sẽ giảm 20% chính xác, duy trì 2 lượt. Kết thúc hiệu ứng sẽ bị [Suy Yếu]."
技能3等级II-印记触发流血,Kỹ năng 3 cấp 2 - Ấn Ký kích hoạt Xuất huyết
派对兑换,Đổi Tiệc
承光之名,Tên Sáng
提升公会内政等级的必需品。,Nguyên liệu cần thiết để tăng cấp Nội Chính Bang
PVP战斗中，被冥海英雄攻击时最终伤害降低5%。,"Trong đấu PvP, giảm 5% sát thương cuối nhận từ các tướng hệ Thủy"
升级到{0}奖励,Thưởng tăng cấp lên {0}
觉醒技能2-自身加buff,Kỹ năng Thức tỉnh II - Tăng hiệu ứng bản thân
敏攻·6星·头盔,Tấn Công·6 Sao·Mũ
还需{0}的伤害就可以激活{1}，领取大量奖励！{j},"Cần {0} sát thương mới được kích hoạt {1}, nhận thưởng phong phú!{j}"
属性预览,Xem Trước Thuộc Tính
<color=#D39D0D>德古拉</color>在试炼内攻击力和暴击率提升<color=#bde151>34%</color><br/><color=#D39D0D>全体英雄</color>在试炼内攻击力提升<color=#bde141>24000</color>，最大生命值提升<color=#bde141>120000</color>,"<color=#D39D0D>Dracula</color> trong Thí Luyện, tăng <color=#bde141>34%</color> tấn công và bạo kích<br/><color=#D39D0D>Toàn bộ tướng</color> trong Thí Luyện, tăng <color=#bde141>24000</color> điểm tấn công và <color=#bde141>120000</color> điểm HP."
侠盗,Hiệp Đạo
常用阵容,Đội hình thường dùng
用于激活和升星【御风护腕】的专属秘宝碎片<br/>集齐40个碎片即可激活，激活后可以<color=#8cb946>降低我方英雄在PvP中受到永茂英雄攻击时所受到的最终伤害</color><br/>分解可以获得<color=#8cb946>中级增幅矿石*5</color>,"Dùng để kích hoạt và nâng sao mảnh Kho Báu [Bao Tay Cuồng Phong]<br/>Thu thập 40 mảnh có thể kích hoạt, <color=#8cb946>giảm sát thương cuối của đồng đội khi bị tướng hệ Mộc tấn công trong PvP</color><br/>Tách nhận: <color=#8cb946>Khoáng Thạch Trung*5</color>"
洛德莱攻击速度低于自身的目标时暴击伤害提升30%.,Tăng 30% sát thương bạo cho Yi khi tốc độ của Yi thấp hơn tốc độ địch
1000解锁,1000 mở khóa
拥有【圣辉魔书】获得,Sở hữu [Death Note] nhận
敌方怪物每次行动提升6%速度和6%闪避，最多叠加3层。,"Mỗi khi tấn công, quái vật địch tăng 6% tốc độ và né tránh, cộng dồn 3 tầng."
或 岩洞探险{0}米后解锁,Hoặc Thám Hiểm Động đạt {0} mét sẽ mở
别再故意扬起它啦！,Đừng cố nâng nó lên nữa!
地牢,Địa Lao
【光辉结界】持续期间使所有英雄物理免伤提升20%。,[Kết Quang Giới] Tăng 20% kháng sát thương vật lý cho toàn bộ tướng trong một khoảng thời gian.
赌场大亨,Ông Trùm Sòng Bạc
所有焰岭英雄造成攻击时均有30%概率额外再叠加1层【灼烧】。(若存在相同系列技能取效果最高者),"Khi toàn bộ tướng hệ Hỏa tấn công, có 30% tỉ lệ cộng dồn 1 tầng [Thiêu Đốt] (Nếu có nhiều hiệu ứng giống nhau, lấy hiệu ứng có hiệu quả cao nhất)"
罗丝觉醒技等级3-释放大招获得效果,Kỹ năng Thức Tỉnh Athena cấp 3-Tung chiêu cuối nhận hiệu ứng
技能2名字II-治疗,Kỹ năng 2.2 - Trị liệu
小心，又有人苏醒过来了！,"Cẩn thận, lại có người tỉnh lại rồi!"
{0}达到{1}品质,{0} đạt phẩm chất {1}
可恶，叫那家伙跑了。,"Ghét thật, để hắn chạy mất rồi."
莉莉丝积分本跳转,Chuyển phụ bản điểm Lilith
不败之王,Vua Bất Bại
四族招募,Triệu Hồi Tứ Hệ
勇士，你本轮在罪恶之都帝国修罗场中获得%s名的优异成绩！请查收你的奖励。,Chúc mừng bạn trong Thành Phố Tội Ác-Chiến Trường Thánh Huy vòng này đạt hạng %s! Vui lòng nhận thưởng!.
技能1等级III-正常目标伤害,Kỹ năng 1 cấp 3 - Tường thường gây sát thương
